Setting logging level to DEBUG
2023-10-05 09:27:02.837+00:00 | main | DEBUG | Native | Looking in classpath from jdk.internal.loader.ClassLoaders$AppClassLoader@5bc2b487 for /com/sun/jna/linux-x86-64/libjnidispatch.so
2023-10-05 09:27:02.840+00:00 | main | DEBUG | Native | Found library resource at jar:file:/opt/besu/lib/jna-5.13.0.jar!/com/sun/jna/linux-x86-64/libjnidispatch.so
2023-10-05 09:27:02.843+00:00 | main | DEBUG | Native | Extracting library to /opt/besu/.cache/JNA/temp/jna11790184441779857860.tmp
2023-10-05 09:27:02.846+00:00 | main | DEBUG | Native | Trying /opt/besu/.cache/JNA/temp/jna11790184441779857860.tmp
2023-10-05 09:27:02.848+00:00 | main | DEBUG | Native | Found jnidispatch at /opt/besu/.cache/JNA/temp/jna11790184441779857860.tmp
2023-10-05 09:27:02.881+00:00 | main | DEBUG | NativeLibrary | Looking for library 'secp256k1'
2023-10-05 09:27:02.881+00:00 | main | DEBUG | NativeLibrary | Adding paths from jna.library.path: null
2023-10-05 09:27:02.882+00:00 | main | DEBUG | NativeLibrary | Trying libsecp256k1.so
2023-10-05 09:27:02.882+00:00 | main | DEBUG | NativeLibrary | Loading failed with message: libsecp256k1.so: cannot open shared object file: No such file or directory
2023-10-05 09:27:02.883+00:00 | main | DEBUG | NativeLibrary | Adding system paths: [/usr/lib/x86_64-linux-gnu, /lib/x86_64-linux-gnu, /usr/lib64, /lib64, /usr/lib, /lib]
2023-10-05 09:27:02.883+00:00 | main | DEBUG | NativeLibrary | Trying libsecp256k1.so
2023-10-05 09:27:02.884+00:00 | main | DEBUG | NativeLibrary | Loading failed with message: libsecp256k1.so: cannot open shared object file: No such file or directory
2023-10-05 09:27:02.884+00:00 | main | DEBUG | NativeLibrary | Looking for version variants
2023-10-05 09:27:02.887+00:00 | main | DEBUG | Native | Looking in classpath from jdk.internal.loader.ClassLoaders$AppClassLoader@5bc2b487 for secp256k1
2023-10-05 09:27:02.888+00:00 | main | DEBUG | Native | Found library resource at jar:file:/opt/besu/lib/secp256k1-0.8.1.jar!/linux-x86-64/libsecp256k1.so
2023-10-05 09:27:02.889+00:00 | main | DEBUG | Native | Extracting library to /opt/besu/.cache/JNA/temp/jna1867451143008896288.tmp
2023-10-05 09:27:02.899+00:00 | main | DEBUG | NativeLibrary | Found library 'secp256k1' at /opt/besu/.cache/JNA/temp/jna1867451143008896288.tmp
2023-10-05 09:27:02.932+00:00 | main | INFO  | Besu | Starting Besu
2023-10-05 09:27:02.995+00:00 | main | DEBUG | LoggerFactory | Using io.vertx.core.logging.Log4j2LogDelegateFactory
2023-10-05 09:27:03.043+00:00 | main | DEBUG | PlatformDependent0 | -Dio.netty.noUnsafe: false
2023-10-05 09:27:03.044+00:00 | main | DEBUG | PlatformDependent0 | Java version: 17
2023-10-05 09:27:03.046+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.theUnsafe: available
2023-10-05 09:27:03.047+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.copyMemory: available
2023-10-05 09:27:03.048+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.storeFence: available
2023-10-05 09:27:03.049+00:00 | main | DEBUG | PlatformDependent0 | java.nio.Buffer.address: available
2023-10-05 09:27:03.050+00:00 | main | DEBUG | PlatformDependent0 | direct buffer constructor: available
2023-10-05 09:27:03.051+00:00 | main | DEBUG | PlatformDependent0 | java.nio.Bits.unaligned: available, true
2023-10-05 09:27:03.053+00:00 | main | DEBUG | PlatformDependent0 | jdk.internal.misc.Unsafe.allocateUninitializedArray(int): available
2023-10-05 09:27:03.054+00:00 | main | DEBUG | PlatformDependent0 | java.nio.DirectByteBuffer.<init>(long, int): available
2023-10-05 09:27:03.055+00:00 | main | DEBUG | PlatformDependent | sun.misc.Unsafe: available
2023-10-05 09:27:03.055+00:00 | main | DEBUG | PlatformDependent | maxDirectMemory: 4148166656 bytes (maybe)
2023-10-05 09:27:03.056+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2023-10-05 09:27:03.056+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2023-10-05 09:27:03.058+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.maxDirectMemory: 4148166656 bytes
2023-10-05 09:27:03.058+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.uninitializedArrayAllocationThreshold: 1024
2023-10-05 09:27:03.060+00:00 | main | DEBUG | CleanerJava9 | java.nio.ByteBuffer.cleaner(): available
2023-10-05 09:27:03.060+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.noPreferDirect: false
2023-10-05 09:27:03.069+00:00 | main | DEBUG | NativeLibraryLoader | -Dio.netty.native.workdir: /tmp (io.netty.tmpdir)
2023-10-05 09:27:03.070+00:00 | main | DEBUG | NativeLibraryLoader | -Dio.netty.native.deleteLibAfterLoading: true
2023-10-05 09:27:03.070+00:00 | main | DEBUG | NativeLibraryLoader | -Dio.netty.native.tryPatchShadedId: true
2023-10-05 09:27:03.070+00:00 | main | DEBUG | NativeLibraryLoader | -Dio.netty.native.detectNativeLibraryDuplicates: true
2023-10-05 09:27:03.082+00:00 | main | DEBUG | NativeLibraryLoader | Successfully loaded the library /tmp/libnetty_transport_native_epoll_x86_6417889049744456313348.so
2023-10-05 09:27:03.088+00:00 | main | DEBUG | NetUtil | -Djava.net.preferIPv4Stack: false
2023-10-05 09:27:03.089+00:00 | main | DEBUG | NetUtil | -Djava.net.preferIPv6Addresses: false
2023-10-05 09:27:03.091+00:00 | main | DEBUG | NetUtilInitializations | Loopback interface: lo (lo, 127.0.0.1)
2023-10-05 09:27:03.092+00:00 | main | DEBUG | NetUtil | /proc/sys/net/core/somaxconn: 4096
2023-10-05 09:27:03.113+00:00 | main | DEBUG | ResourceLeakDetector | -Dio.netty.leakDetection.level: simple
2023-10-05 09:27:03.114+00:00 | main | DEBUG | ResourceLeakDetector | -Dio.netty.leakDetection.targetRecords: 4
2023-10-05 09:27:03.148+00:00 | main | DEBUG | MultithreadEventLoopGroup | -Dio.netty.eventLoopThreads: 24
2023-10-05 09:27:03.163+00:00 | main | DEBUG | GlobalEventExecutor | -Dio.netty.globalEventExecutor.quietPeriodSeconds: 1
2023-10-05 09:27:03.176+00:00 | main | DEBUG | InternalThreadLocalMap | -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
