Setting logging level to DEBUG
2023-10-05 09:26:50.992+00:00 | main | DEBUG | Native | Looking in classpath from jdk.internal.loader.ClassLoaders$AppClassLoader@5bc2b487 for /com/sun/jna/linux-x86-64/libjnidispatch.so
2023-10-05 09:26:50.994+00:00 | main | DEBUG | Native | Found library resource at jar:file:/opt/besu/lib/jna-5.13.0.jar!/com/sun/jna/linux-x86-64/libjnidispatch.so
2023-10-05 09:26:50.996+00:00 | main | DEBUG | Native | Extracting library to /opt/besu/.cache/JNA/temp/jna2146439595082292767.tmp
2023-10-05 09:26:50.998+00:00 | main | DEBUG | Native | Trying /opt/besu/.cache/JNA/temp/jna2146439595082292767.tmp
2023-10-05 09:26:51.000+00:00 | main | DEBUG | Native | Found jnidispatch at /opt/besu/.cache/JNA/temp/jna2146439595082292767.tmp
2023-10-05 09:26:51.028+00:00 | main | DEBUG | NativeLibrary | Looking for library 'secp256k1'
2023-10-05 09:26:51.028+00:00 | main | DEBUG | NativeLibrary | Adding paths from jna.library.path: null
2023-10-05 09:26:51.028+00:00 | main | DEBUG | NativeLibrary | Trying libsecp256k1.so
2023-10-05 09:26:51.029+00:00 | main | DEBUG | NativeLibrary | Loading failed with message: libsecp256k1.so: cannot open shared object file: No such file or directory
2023-10-05 09:26:51.030+00:00 | main | DEBUG | NativeLibrary | Adding system paths: [/usr/lib/x86_64-linux-gnu, /lib/x86_64-linux-gnu, /usr/lib64, /lib64, /usr/lib, /lib]
2023-10-05 09:26:51.030+00:00 | main | DEBUG | NativeLibrary | Trying libsecp256k1.so
2023-10-05 09:26:51.031+00:00 | main | DEBUG | NativeLibrary | Loading failed with message: libsecp256k1.so: cannot open shared object file: No such file or directory
2023-10-05 09:26:51.031+00:00 | main | DEBUG | NativeLibrary | Looking for version variants
2023-10-05 09:26:51.035+00:00 | main | DEBUG | Native | Looking in classpath from jdk.internal.loader.ClassLoaders$AppClassLoader@5bc2b487 for secp256k1
2023-10-05 09:26:51.035+00:00 | main | DEBUG | Native | Found library resource at jar:file:/opt/besu/lib/secp256k1-0.8.1.jar!/linux-x86-64/libsecp256k1.so
2023-10-05 09:26:51.036+00:00 | main | DEBUG | Native | Extracting library to /opt/besu/.cache/JNA/temp/jna17132874764865316297.tmp
2023-10-05 09:26:51.045+00:00 | main | DEBUG | NativeLibrary | Found library 'secp256k1' at /opt/besu/.cache/JNA/temp/jna17132874764865316297.tmp
2023-10-05 09:26:51.076+00:00 | main | INFO  | Besu | Starting Besu
2023-10-05 09:26:51.104+00:00 | main | DEBUG | LoggerFactory | Using io.vertx.core.logging.Log4j2LogDelegateFactory
2023-10-05 09:26:51.143+00:00 | main | DEBUG | PlatformDependent0 | -Dio.netty.noUnsafe: false
2023-10-05 09:26:51.144+00:00 | main | DEBUG | PlatformDependent0 | Java version: 17
2023-10-05 09:26:51.146+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.theUnsafe: available
2023-10-05 09:26:51.147+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.copyMemory: available
2023-10-05 09:26:51.147+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.storeFence: available
2023-10-05 09:26:51.148+00:00 | main | DEBUG | PlatformDependent0 | java.nio.Buffer.address: available
2023-10-05 09:26:51.149+00:00 | main | DEBUG | PlatformDependent0 | direct buffer constructor: available
2023-10-05 09:26:51.150+00:00 | main | DEBUG | PlatformDependent0 | java.nio.Bits.unaligned: available, true
2023-10-05 09:26:51.152+00:00 | main | DEBUG | PlatformDependent0 | jdk.internal.misc.Unsafe.allocateUninitializedArray(int): available
2023-10-05 09:26:51.153+00:00 | main | DEBUG | PlatformDependent0 | java.nio.DirectByteBuffer.<init>(long, int): available
2023-10-05 09:26:51.153+00:00 | main | DEBUG | PlatformDependent | sun.misc.Unsafe: available
2023-10-05 09:26:51.154+00:00 | main | DEBUG | PlatformDependent | maxDirectMemory: 4148166656 bytes (maybe)
2023-10-05 09:26:51.155+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2023-10-05 09:26:51.155+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2023-10-05 09:26:51.156+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.maxDirectMemory: 4148166656 bytes
2023-10-05 09:26:51.156+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.uninitializedArrayAllocationThreshold: 1024
2023-10-05 09:26:51.158+00:00 | main | DEBUG | CleanerJava9 | java.nio.ByteBuffer.cleaner(): available
2023-10-05 09:26:51.158+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.noPreferDirect: false
2023-10-05 09:26:51.166+00:00 | main | DEBUG | NativeLibraryLoader | -Dio.netty.native.workdir: /tmp (io.netty.tmpdir)
2023-10-05 09:26:51.167+00:00 | main | DEBUG | NativeLibraryLoader | -Dio.netty.native.deleteLibAfterLoading: true
2023-10-05 09:26:51.167+00:00 | main | DEBUG | NativeLibraryLoader | -Dio.netty.native.tryPatchShadedId: true
2023-10-05 09:26:51.167+00:00 | main | DEBUG | NativeLibraryLoader | -Dio.netty.native.detectNativeLibraryDuplicates: true
2023-10-05 09:26:51.177+00:00 | main | DEBUG | NativeLibraryLoader | Successfully loaded the library /tmp/libnetty_transport_native_epoll_x86_647491080839585278372.so
2023-10-05 09:26:51.181+00:00 | main | DEBUG | NetUtil | -Djava.net.preferIPv4Stack: false
2023-10-05 09:26:51.181+00:00 | main | DEBUG | NetUtil | -Djava.net.preferIPv6Addresses: false
2023-10-05 09:26:51.183+00:00 | main | DEBUG | NetUtilInitializations | Loopback interface: lo (lo, 127.0.0.1)
2023-10-05 09:26:51.184+00:00 | main | DEBUG | NetUtil | /proc/sys/net/core/somaxconn: 4096
2023-10-05 09:26:51.202+00:00 | main | DEBUG | ResourceLeakDetector | -Dio.netty.leakDetection.level: simple
2023-10-05 09:26:51.202+00:00 | main | DEBUG | ResourceLeakDetector | -Dio.netty.leakDetection.targetRecords: 4
2023-10-05 09:26:51.221+00:00 | main | DEBUG | MultithreadEventLoopGroup | -Dio.netty.eventLoopThreads: 24
2023-10-05 09:26:51.230+00:00 | main | DEBUG | GlobalEventExecutor | -Dio.netty.globalEventExecutor.quietPeriodSeconds: 1
2023-10-05 09:26:51.238+00:00 | main | DEBUG | InternalThreadLocalMap | -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
2023-10-05 09:26:51.238+00:00 | main | DEBUG | InternalThreadLocalMap | -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
