Setting logging level to DEBUG
2023-10-05 09:27:03.349+00:00 | main | DEBUG | InternalThreadLocalMap | -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
2023-10-05 09:27:03.349+00:00 | main | DEBUG | InternalThreadLocalMap | -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
2023-10-05 09:27:03.372+00:00 | main | DEBUG | PlatformDependent | org.jctools-core.MpscChunkedArrayQueue: available
2023-10-05 09:27:03.457+00:00 | main | DEBUG | DefaultDnsServerAddressStreamProvider | Default DNS servers: [/127.0.0.11:53] (sun.net.dns.ResolverConfiguration)
2023-10-05 09:27:03.488+00:00 | main | DEBUG | DefaultHostsFileEntriesResolver | -Dio.netty.hostsFileRefreshInterval: 0
2023-10-05 09:27:04.155+00:00 | main | WARN  | Besu | --graphql-http-host has been ignored because --graphql-http-enabled was not defined on the command line.
2023-10-05 09:27:04.158+00:00 | main | DEBUG | Besu | Static Nodes file: /opt/besu/data/static-nodes.json
2023-10-05 09:27:04.160+00:00 | main | DEBUG | StaticNodesParser | StaticNodes file /opt/besu/data/static-nodes.json does not exist, no static connections will be created.
2023-10-05 09:27:04.210+00:00 | main | DEBUG | NativeLibrary | Looking for library 'jemalloc'
2023-10-05 09:27:04.211+00:00 | main | DEBUG | NativeLibrary | Adding paths from jna.library.path: null
2023-10-05 09:27:04.212+00:00 | main | DEBUG | NativeLibrary | Trying libjemalloc.so
2023-10-05 09:27:04.213+00:00 | main | DEBUG | NativeLibrary | Found library 'jemalloc' at libjemalloc.so
2023-10-05 09:27:04.261+00:00 | main | DEBUG | NativeLibrary | Looking for library 'udev'
2023-10-05 09:27:04.261+00:00 | main | DEBUG | NativeLibrary | Adding paths from jna.library.path: null
2023-10-05 09:27:04.262+00:00 | main | DEBUG | NativeLibrary | Trying libudev.so
2023-10-05 09:27:04.262+00:00 | main | DEBUG | NativeLibrary | Loading failed with message: libudev.so: cannot open shared object file: No such file or directory
2023-10-05 09:27:04.263+00:00 | main | DEBUG | NativeLibrary | Adding system paths: [/usr/lib/x86_64-linux-gnu, /lib/x86_64-linux-gnu, /usr/lib64, /lib64, /usr/lib, /lib]
2023-10-05 09:27:04.263+00:00 | main | DEBUG | NativeLibrary | Trying libudev.so
2023-10-05 09:27:04.264+00:00 | main | DEBUG | NativeLibrary | Loading failed with message: libudev.so: cannot open shared object file: No such file or directory
2023-10-05 09:27:04.265+00:00 | main | DEBUG | NativeLibrary | Looking for version variants
2023-10-05 09:27:04.268+00:00 | main | DEBUG | NativeLibrary | Trying /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2023-10-05 09:27:04.269+00:00 | main | DEBUG | NativeLibrary | Found library 'udev' at /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2023-10-05 09:27:04.279+00:00 | main | DEBUG | FileUtil | Reading file /proc/self/auxv
2023-10-05 09:27:04.281+00:00 | main | DEBUG | FileUtil | Reading file /proc/self/auxv
2023-10-05 09:27:04.299+00:00 | main | DEBUG | FileUtil | Reading file /proc/stat
