Setting logging level to DEBUG
2023-10-05 09:27:03.070+00:00 | main | DEBUG | Native | Looking in classpath from jdk.internal.loader.ClassLoaders$AppClassLoader@5bc2b487 for /com/sun/jna/linux-x86-64/libjnidispatch.so
2023-10-05 09:27:03.074+00:00 | main | DEBUG | Native | Found library resource at jar:file:/opt/besu/lib/jna-5.13.0.jar!/com/sun/jna/linux-x86-64/libjnidispatch.so
2023-10-05 09:27:03.076+00:00 | main | DEBUG | Native | Extracting library to /opt/besu/.cache/JNA/temp/jna14963285960507249103.tmp
2023-10-05 09:27:03.080+00:00 | main | DEBUG | Native | Trying /opt/besu/.cache/JNA/temp/jna14963285960507249103.tmp
2023-10-05 09:27:03.083+00:00 | main | DEBUG | Native | Found jnidispatch at /opt/besu/.cache/JNA/temp/jna14963285960507249103.tmp
2023-10-05 09:27:03.122+00:00 | main | DEBUG | NativeLibrary | Looking for library 'secp256k1'
2023-10-05 09:27:03.122+00:00 | main | DEBUG | NativeLibrary | Adding paths from jna.library.path: null
2023-10-05 09:27:03.123+00:00 | main | DEBUG | NativeLibrary | Trying libsecp256k1.so
2023-10-05 09:27:03.124+00:00 | main | DEBUG | NativeLibrary | Loading failed with message: libsecp256k1.so: cannot open shared object file: No such file or directory
2023-10-05 09:27:03.124+00:00 | main | DEBUG | NativeLibrary | Adding system paths: [/usr/lib/x86_64-linux-gnu, /lib/x86_64-linux-gnu, /usr/lib64, /lib64, /usr/lib, /lib]
2023-10-05 09:27:03.125+00:00 | main | DEBUG | NativeLibrary | Trying libsecp256k1.so
2023-10-05 09:27:03.126+00:00 | main | DEBUG | NativeLibrary | Loading failed with message: libsecp256k1.so: cannot open shared object file: No such file or directory
2023-10-05 09:27:03.126+00:00 | main | DEBUG | NativeLibrary | Looking for version variants
2023-10-05 09:27:03.131+00:00 | main | DEBUG | Native | Looking in classpath from jdk.internal.loader.ClassLoaders$AppClassLoader@5bc2b487 for secp256k1
2023-10-05 09:27:03.132+00:00 | main | DEBUG | Native | Found library resource at jar:file:/opt/besu/lib/secp256k1-0.8.1.jar!/linux-x86-64/libsecp256k1.so
2023-10-05 09:27:03.133+00:00 | main | DEBUG | Native | Extracting library to /opt/besu/.cache/JNA/temp/jna6151488318354535816.tmp
2023-10-05 09:27:03.144+00:00 | main | DEBUG | NativeLibrary | Found library 'secp256k1' at /opt/besu/.cache/JNA/temp/jna6151488318354535816.tmp
2023-10-05 09:27:03.187+00:00 | main | INFO  | Besu | Starting Besu
2023-10-05 09:27:03.252+00:00 | main | DEBUG | LoggerFactory | Using io.vertx.core.logging.Log4j2LogDelegateFactory
2023-10-05 09:27:03.301+00:00 | main | DEBUG | PlatformDependent0 | -Dio.netty.noUnsafe: false
